date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:02	54337/54337	---M--	200	added ('OK')	image/jpeg	etag:%22d441-63c82345-72ef7212ededb613;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service12.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service12.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:02	60667/60667	---M--	200	added ('OK')	image/jpeg	etag:%22ecfb-63c82345-2958ab57e89ea57c;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service8.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service8.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:02	24161/24161	---M--	200	added ('OK')	image/png	etag:%225e61-63c82345-460c96ac0f4f2a98;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/circle-2.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/circle-2.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:02	102549/102549	---M--	200	added ('OK')	image/jpeg	etag:%2219095-63c82345-bdc2eb4dd6a6876a;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/bg/security-guard.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/bg/security-guard.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:03	30906/30906	---M--	200	added ('OK')	image/png	etag:%2278ba-63c82345-c83eaa6dd5a9371a;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-1.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-1.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:03	38919/38919	---M--	200	added ('OK')	image/png	etag:%229807-63c82345-dae0100884686bc;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-2.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-2.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:03	74300/74300	---M--	200	added ('OK')	image/png	etag:%221223c-63c82345-44739fa1dd2704d9;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-3.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-3.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:04	42783/42783	---M--	200	added ('OK')	image/jpeg	etag:%22a71f-63c82345-ae7e5b0307455b41;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/facility/img-3.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/facility/img-3.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:04	64323/64323	---M--	200	added ('OK')	image/jpeg	etag:%22fb43-63c82345-a259411c7a678ee7;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-m-2.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-m-2.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:04	452809/452809	---M--	200	added ('OK')	image/png	etag:%226e8c9-63c82345-5f7810cc3dfc28bc;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/zip-line.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/zip-line.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
